date_cases,college,cases,Party,State,Masks Required?,Initial Mask Requirement Date
2020-10-22,Fresno Pacific University,,Democratic,California,Entire State,6/18/2020
2020-10-22,Fresno State University,27.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Harvey Mudd College,5.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Holy Names University,2.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Humboldt State University,11.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Los Angeles Community College District,171.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Loyola Marymount University,1.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Menlo College,3.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Mills College,3.0,Democratic,California,Entire State,6/18/2020
2020-10-22,MiraCosta College,8.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Modesto Junior College,,Democratic,California,Entire State,6/18/2020
2020-10-22,Naval Postgraduate School,,Democratic,California,Entire State,6/18/2020
2020-10-22,Notre Dame de Namur University,0.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Occidental College,5.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Pepperdine University,23.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Pitzer College,1.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Point Loma Nazarene University,26.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Pomona College,1.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Rio Hondo College,18.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Saint Mary's College of California,9.0,Democratic,California,Entire State,6/18/2020
2020-10-22,San Diego Mesa College,21.0,Democratic,California,Entire State,6/18/2020
2020-10-22,San Diego Miramar College,5.0,Democratic,California,Entire State,6/18/2020
2020-10-22,San Diego State University System,1237.0,Democratic,California,Entire State,6/18/2020
2020-10-22,San Francisco State University,6.0,Democratic,California,Entire State,6/18/2020
2020-10-22,San Jose State University,51.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Santa Ana College,0.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Santa Clara University,35.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Santa Monica College,4.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Scripps College,4.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Shasta College,5.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Skyline College,0.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Solano Community College,0.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Sonoma State University,4.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Southwestern College,8.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Stanford University,147.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Teachers College of San Joaquin,,Democratic,California,Entire State,6/18/2020
2020-10-22,"University of California, Berkeley",229.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"University of California, Davis",88.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"University of California, Hastings College of Law",5.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"University of California, Irvine",131.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"University of California, Los Angeles",219.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"University of California, Merced",17.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"University of California, Riverside",73.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"University of California, San Diego",362.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"University of California, San Francisco",,Democratic,California,Entire State,6/18/2020
2020-10-22,"University of California, Santa Barbara",12.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"University of California, Santa Cruz",20.0,Democratic,California,Entire State,6/18/2020
2020-10-22,University of La Verne,0.0,Democratic,California,Entire State,6/18/2020
2020-10-22,University of Redlands,9.0,Democratic,California,Entire State,6/18/2020
2020-10-22,University of San Diego,157.0,Democratic,California,Entire State,6/18/2020
2020-10-22,University of San Francisco,9.0,Democratic,California,Entire State,6/18/2020
2020-10-22,University of Southern California,548.0,Democratic,California,Entire State,6/18/2020
2020-10-22,University of the Pacific,10.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Westmont College,7.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Whittier College,5.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Adams State University,11.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Arapahoe Community College,20.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Colorado Christian University,16.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Colorado College,16.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Colorado Mesa University,111.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Colorado Mountain College Glenwood Springs,8.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Colorado School of Mines,84.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Colorado State University,520.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Colorado State University-Pueblo,38.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Community College of Denver,89.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Fort Lewis College,33.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Front Range Community College,18.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Johnson & Wales University-Denver,1.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Metropolitan State University of Denver,38.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Morgan Community College,3.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Pikes Peak Community College,25.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Pueblo Community College,5.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Red Rocks Community College,0.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Regis University,71.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Trinidad State Junior College,2.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,United States Air Force Academy,2.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,University of Colorado Boulder,1806.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,University of Colorado Colorado Springs,35.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,University of Colorado Denver and Anschutz Medical Campus,64.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,University of Denver,233.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,University of Northern Colorado,61.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Western Colorado University,12.0,Democratic,Colorado,Entire State,7/17/2020
2020-10-22,Albertus Magnus College,4.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Central Connecticut State University,93.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Connecticut College,25.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Eastern Connecticut State University,41.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Fairfield University,304.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Mitchell College,2.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Post University,0.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Quinnipiac University,23.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Sacred Heart University,338.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Southern Connecticut State University,39.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Trinity College,28.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Tunxis Community College,,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,United States Coast Guard Academy,9.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,University of Bridgeport,10.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,University of Connecticut,327.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,University of Hartford,41.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,University of New Haven,34.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,University of Saint Joseph,3.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Wesleyan University,9.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Western Connecticut State University,24.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Yale University,219.0,Democratic,Connecticut,Entire State,4/17/2020
2020-10-22,Delaware State University,77.0,Democratic,Delaware,Entire State,5/1/2020
2020-10-22,Delaware Technical Community College Dover ,5.0,Democratic,Delaware,Entire State,5/1/2020
2020-10-22,Delaware Technical Community College Georgetown,41.0,Democratic,Delaware,Entire State,5/1/2020
2020-10-22,Delaware Technical Community College Stanton,14.0,Democratic,Delaware,Entire State,5/1/2020
2020-10-22,Goldey-Beacom College,0.0,Democratic,Delaware,Entire State,5/1/2020
2020-10-22,University of Delaware,443.0,Democratic,Delaware,Entire State,5/1/2020
2020-10-22,Wesley College,14.0,Democratic,Delaware,Entire State,5/1/2020
2020-10-22,Wilmington University,,Democratic,Delaware,Entire State,5/1/2020
2020-10-22,AdventHealth University,2.0,Republican,Florida,Parts of State,
2020-10-22,American Institute of Beauty,1.0,Republican,Florida,Parts of State,
2020-10-22,Atlantic Technical College,1.0,Republican,Florida,Parts of State,
2020-10-22,Ave Maria University,27.0,Republican,Florida,Parts of State,
2020-10-22,Barry University,1.0,Republican,Florida,Parts of State,
2020-10-22,Bethune-Cookman University,1.0,Republican,Florida,Parts of State,
2020-10-22,Broward College,49.0,Republican,Florida,Parts of State,
2020-10-22,Charlotte Technical College,,Republican,Florida,Parts of State,
2020-10-22,Chipola College,5.0,Republican,Florida,Parts of State,
2020-10-22,City College at Gainesville,1.0,Republican,Florida,Parts of State,
2020-10-22,College of Central Florida,49.0,Republican,Florida,Parts of State,
2020-10-22,Daytona State College,72.0,Republican,Florida,Parts of State,
2020-10-22,Eastern Florida State College,12.0,Republican,Florida,Parts of State,
2020-10-22,Eckerd College,3.0,Republican,Florida,Parts of State,
2020-10-22,Edward Waters College,7.0,Republican,Florida,Parts of State,
2020-10-22,Embry-Riddle Aeronautical University at Daytona Beach,83.0,Republican,Florida,Parts of State,
2020-10-22,Flagler College,61.0,Republican,Florida,Parts of State,
2020-10-22,Florida A&M University,106.0,Republican,Florida,Parts of State,
2020-10-22,Florida Atlantic University,252.0,Republican,Florida,Parts of State,
2020-10-22,Florida Career College at Tampa,1.0,Republican,Florida,Parts of State,
2020-10-22,Florida College,50.0,Republican,Florida,Parts of State,
2020-10-22,Florida Gateway College,,Republican,Florida,Parts of State,
2020-10-22,Florida Gulf Coast University,303.0,Republican,Florida,Parts of State,
2020-10-22,Florida Institute of Recording Sound and Technology,1.0,Republican,Florida,Parts of State,
2020-10-22,Florida Institute of Technology,53.0,Republican,Florida,Parts of State,
2020-10-22,Florida International University,190.0,Republican,Florida,Parts of State,
2020-10-22,Florida Memorial University,111.0,Republican,Florida,Parts of State,
2020-10-22,Florida National University,,Republican,Florida,Parts of State,
2020-10-22,Florida Polytechnic University,10.0,Republican,Florida,Parts of State,
2020-10-22,Florida SouthWestern State College,18.0,Republican,Florida,Parts of State,
2020-10-22,Florida Southern College,49.0,Republican,Florida,Parts of State,
2020-10-22,Florida State College at Jacksonville,25.0,Republican,Florida,Parts of State,
2020-10-22,Florida State University,1656.0,Republican,Florida,Parts of State,
2020-10-22,Fort Myers Technical College,2.0,Republican,Florida,Parts of State,
2020-10-22,Fortis Institute at Port Saint Lucie,1.0,Republican,Florida,Parts of State,
2020-10-22,George Stone Technical College,1.0,Republican,Florida,Parts of State,
2020-10-22,Gulf Coast State College,47.0,Republican,Florida,Parts of State,
2020-10-22,Gwinnett Institute,1.0,Republican,Florida,Parts of State,
2020-10-22,HCI College,1.0,Republican,Florida,Parts of State,
2020-10-22,HCI College at Fort Lauderdale,,Republican,Florida,Parts of State,
2020-10-22,Hillsborough Community College,29.0,Republican,Florida,Parts of State,
2020-10-22,Immokalee Technical College,3.0,Republican,Florida,Parts of State,
2020-10-22,Indian River State College,34.0,Republican,Florida,Parts of State,
2020-10-22,Jacksonville University,44.0,Republican,Florida,Parts of State,
2020-10-22,Johnson & Wales University-North Miami,0.0,Republican,Florida,Parts of State,
2020-10-22,Keiser University at Fort Myers,1.0,Republican,Florida,Parts of State,
2020-10-22,Keiser University at Jacksonville,1.0,Republican,Florida,Parts of State,
2020-10-22,Keiser University at Lakeland,2.0,Republican,Florida,Parts of State,
2020-10-22,Keiser University at Melbourne,2.0,Republican,Florida,Parts of State,
2020-10-22,Keiser University at Sarasota,1.0,Republican,Florida,Parts of State,
2020-10-22,Keiser University at Tallahassee,,Republican,Florida,Parts of State,
2020-10-22,Keiser University at West Palm Beach,1.0,Republican,Florida,Parts of State,
2020-10-22,Lake-Sumter State College,0.0,Republican,Florida,Parts of State,
2020-10-22,Lively Technical College,1.0,Republican,Florida,Parts of State,
2020-10-22,Lorenzo Walker Technical College,0.0,Republican,Florida,Parts of State,
2020-10-22,Lynn University,41.0,Republican,Florida,Parts of State,
2020-10-22,Meridian College,1.0,Republican,Florida,Parts of State,
2020-10-22,Miami Dade College,9.0,Republican,Florida,Parts of State,
2020-10-22,New College of Florida,2.0,Republican,Florida,Parts of State,
2020-10-22,North Florida College,14.0,Republican,Florida,Parts of State,
2020-10-22,Northwest Florida State College,25.0,Republican,Florida,Parts of State,
2020-10-22,Nova Southeastern University,1.0,Republican,Florida,Parts of State,
2020-10-22,Palm Beach Atlantic University,35.0,Republican,Florida,Parts of State,
2020-10-22,Palm Beach State College,41.0,Republican,Florida,Parts of State,
2020-10-22,Pasco-Hernando State College,8.0,Republican,Florida,Parts of State,
2020-10-22,Paul Mitchell the School-Jacksonville,,Republican,Florida,Parts of State,
2020-10-22,Pensacola State College,36.0,Republican,Florida,Parts of State,
2020-10-22,Polk State College,34.0,Republican,Florida,Parts of State,
2020-10-22,Rasmussen College at Fort Myers,1.0,Republican,Florida,Parts of State,
2020-10-22,Rollins College,27.0,Republican,Florida,Parts of State,
2020-10-22,Saint Leo University,34.0,Republican,Florida,Parts of State,
2020-10-22,Santa Fe College,25.0,Republican,Florida,Parts of State,
2020-10-22,Seminole State College of Florida,12.0,Republican,Florida,Parts of State,
2020-10-22,South Florida State College,32.0,Republican,Florida,Parts of State,
2020-10-22,Southeastern College at West Palm Beach,1.0,Republican,Florida,Parts of State,
2020-10-22,Southeastern University,12.0,Republican,Florida,Parts of State,
2020-10-22,St. Johns River State College,15.0,Republican,Florida,Parts of State,
2020-10-22,St. Petersburg College,40.0,Republican,Florida,Parts of State,
2020-10-22,St. Thomas University,4.0,Republican,Florida,Parts of State,
2020-10-22,"State College of Florida, Manatee-Sarasota",47.0,Republican,Florida,Parts of State,
2020-10-22,Stetson University,114.0,Republican,Florida,Parts of State,
2020-10-22,Strayer University at Fort Lauderdale,,Republican,Florida,Parts of State,
2020-10-22,Tallahassee Community College,102.0,Republican,Florida,Parts of State,
2020-10-22,The College of the Florida Keys,6.0,Republican,Florida,Parts of State,
2020-10-22,University of Central Florida,1544.0,Republican,Florida,Parts of State,
2020-10-22,University of Florida,3634.0,Republican,Florida,Parts of State,
2020-10-22,University of Fort Lauderdale,1.0,Republican,Florida,Parts of State,
2020-10-22,University of Miami,596.0,Republican,Florida,Parts of State,
2020-10-22,University of North Florida,172.0,Republican,Florida,Parts of State,
2020-10-22,University of South Florida,642.0,Republican,Florida,Parts of State,
2020-10-22,University of South Florida Sarasota-Manatee,8.0,Republican,Florida,Parts of State,
2020-10-22,"University of South Florida, St. Petersburg",17.0,Republican,Florida,Parts of State,
2020-10-22,University of Tampa,559.0,Republican,Florida,Parts of State,
2020-10-22,University of West Florida,145.0,Republican,Florida,Parts of State,
2020-10-22,Valencia College,35.0,Republican,Florida,Parts of State,
2020-10-22,Webber International University,3.0,Republican,Florida,Parts of State,
2020-10-22,Abraham Baldwin Agricultural College,35.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Agnes Scott College,1.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Albany State University,110.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Atlanta Metropolitan State College,0.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Augusta University,234.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Berry College,210.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Brenau University,48.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Clark Atlanta University,0.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Clayton State University,77.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,College of Coastal Georgia,62.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Columbus State University,72.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Covenant College,15.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Dalton State College,38.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,East Georgia State College,52.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Emmanuel College,11.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Emory University,206.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Fort Valley State University,50.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Georgia College & State University,740.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Georgia Gwinnett College,110.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Georgia Highlands College,55.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Georgia Institute of Technology,984.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Georgia Military College,1.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Georgia Southern University,1211.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Georgia Southwestern State University,41.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Georgia State University,237.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Gordon State College,19.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Kennesaw State University,370.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,LaGrange College,21.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Mercer University,281.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Middle Georgia State University,197.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Morehouse College,,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Oglethorpe University,3.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Piedmont College,,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Savannah State University,40.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Shorter University,,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,South Georgia State College,35.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,University of Georgia,4049.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,University of North Georgia,431.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,University of West Georgia,191.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Valdosta State University,158.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Wesleyan College,24.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Young Harris College,37.0,Republican,Georgia,Parts of State (Employees Only),
2020-10-22,Brigham Young University-Hawaii,3.0,Democratic,Hawaii,Entire State,4/20/2020
2020-10-22,Chaminade University of Honolulu,,Democratic,Hawaii,Entire State,4/20/2020
